Plot	Reco.ugC.s.m2	Water	Date	Labeling
P08	25.05458029	full	3/23/19	L3
P08	17.60162496	full	3/24/19	L3
P08	17.36937582	full	3/26/19	L3
P08	23.07255082	full	3/27/19	L3
P08	9.939657879	full	3/28/19	L3
P08	17.28191332	full	3/29/19	L3
P08	15.25388558	full	3/30/19	L3
P08	17.18611866	full	3/31/19	L3
P09	13.17391315	half	3/19/19	L3
P09	43.77242141	half	3/20/19	L3
P09	22.32065673	half	3/21/19	L3
P09	13.33284278	half	3/22/19	L3
P09	33.18980754	half	3/23/19	L3
P09	20.33016869	half	3/24/19	L3
P09	25.62249326	half	3/26/19	L3
P09	26.22012038	half	3/27/19	L3
P09	12.7258246	half	3/28/19	L3
P09	23.06472106	half	3/29/19	L3
P09	16.45916163	half	3/30/19	L3
P09	20.66656076	half	3/31/19	L3
P10	32.11115246	half	3/19/19	L3
P10	32.12058663	half	3/20/19	L3
P10	36.06382315	half	3/21/19	L3
P10	31.42245993	half	3/22/19	L3
P10	20.88547921	half	3/23/19	L3
P10	25.00208023	half	3/24/19	L3
P10	23.5618982	half	3/25/19	L3
P10	24.83571571	half	3/26/19	L3
P10	22.98157999	half	3/27/19	L3
P10	21.86009099	half	3/28/19	L3
P10	25.90556564	half	3/29/19	L3
P10	20.43375686	half	3/30/19	L3
P10	27.13781963	half	3/31/19	L3
P11	44.72857776	half	3/19/19	L3
P11	37.98334036	half	3/20/19	L3
P11	38.10839682	half	3/21/19	L3
P11	41.3847294	half	3/22/19	L3
P11	30.13071859	half	3/23/19	L3
P11	32.09783328	half	3/24/19	L3
P11	25.57235282	half	3/25/19	L3
P11	32.59417662	half	3/26/19	L3
P11	28.72373501	half	3/27/19	L3
P11	29.84179671	half	3/28/19	L3
P11	30.20665679	half	3/29/19	L3
P11	32.95586684	half	3/30/19	L3
P11	41.93521265	half	3/31/19	L3
P12	35.44098437	half	3/19/19	L3
P12	41.07201272	half	3/20/19	L3
P12	40.98692533	half	3/21/19	L3
P12	34.5427916	half	3/22/19	L3
P12	34.6494066	half	3/23/19	L3
P12	29.86165539	half	3/24/19	L3
P12	22.55928925	half	3/25/19	L3
P12	28.18518922	half	3/26/19	L3
P12	29.52089157	half	3/27/19	L3
P12	29.50247632	half	3/28/19	L3
P12	28.30579846	half	3/29/19	L3
P12	27.06800392	half	3/30/19	L3
P12	34.10541397	half	3/31/19	L3
P13	11.48401463	half	3/19/19	L3
P13	26.48331108	half	3/20/19	L3
P13	25.98203251	half	3/21/19	L3
P13	9.214724925	half	3/22/19	L3
P13	24.93164342	half	3/23/19	L3
P13	9.526866521	half	3/24/19	L3
P13	14.22400723	half	3/25/19	L3
P13	23.08459044	half	3/26/19	L3
P13	20.33175447	half	3/27/19	L3
P13	14.89751639	half	3/28/19	L3
P13	19.17870053	half	3/29/19	L3
P13	10.95718804	half	3/30/19	L3
P13	13.45303666	half	3/31/19	L3
P14	32.13904755	full	3/19/19	L3
P14	46.32165747	full	3/20/19	L3
P14	34.42471825	full	3/21/19	L3
P14	18.76690312	full	3/22/19	L3
P14	27.56377833	full	3/23/19	L3
P14	22.8055327	full	3/24/19	L3
P14	17.82570849	full	3/25/19	L3
P14	30.43470564	full	3/26/19	L3
P14	28.49348926	full	3/27/19	L3
P14	25.0832644	full	3/28/19	L3
P14	24.213522	full	3/29/19	L3
P14	23.68881592	full	3/30/19	L3
P14	26.62544214	full	3/31/19	L3
P15	21.12193805	full	3/19/19	L3
P15	21.38954924	full	3/20/19	L3
P15	24.58423294	full	3/21/19	L3
P15	22.7329211	full	3/22/19	L3
P15	29.42557761	full	3/23/19	L3
P15	18.23169798	full	3/24/19	L3
P15	20.36223787	full	3/26/19	L3
P15	12.5197027	full	3/27/19	L3
P15	19.28607437	full	3/29/19	L3
P15	15.19495725	full	3/30/19	L3
P15	18.31024729	full	3/31/19	L3
P16	23.69401266	full	3/19/19	L3
P16	33.94771664	full	3/20/19	L3
P16	21.72758059	full	3/21/19	L3
P16	19.81835283	full	3/22/19	L3
P16	18.94460066	full	3/23/19	L3
P16	14.56147471	full	3/24/19	L3
P16	26.2422094	full	3/26/19	L3
P16	23.69265469	full	3/27/19	L3
P16	15.69773491	full	3/28/19	L3
P16	19.008213	full	3/29/19	L3
P16	17.93652725	full	3/30/19	L3
P16	20.49889839	full	3/31/19	L3
P01	22.79966321	full	3/5/20	L4
P01	29.19612985	full	3/6/20	L4
P01	31.27679154	full	3/7/20	L4
P01	28.73868645	full	3/8/20	L4
P01	29.40749349	full	3/9/20	L4
P01	27.27069908	full	3/10/20	L4
P01	27.01954915	full	3/11/20	L4
P01	32.38889827	full	3/12/20	L4
P02	30.29002314	half	3/5/20	L4
P02	19.12722509	half	3/6/20	L4
P02	25.72353959	half	3/7/20	L4
P02	20.2683005	half	3/8/20	L4
P02	22.17682012	half	3/9/20	L4
P02	20.24775022	half	3/10/20	L4
P02	17.4816491	half	3/11/20	L4
P02	25.15397698	half	3/12/20	L4
P04	23.82533393	half	3/5/20	L4
P04	22.06375205	half	3/6/20	L4
P04	24.50774063	half	3/7/20	L4
P04	22.31205204	half	3/8/20	L4
P04	22.58727943	half	3/9/20	L4
P04	22.04954019	half	3/10/20	L4
P04	6.423796039	half	3/11/20	L4
P04	7.001857165	half	3/12/20	L4
P05	31.93365618	half	3/5/20	L4
P05	19.38754529	half	3/6/20	L4
P05	29.87840415	half	3/7/20	L4
P05	27.04997713	half	3/8/20	L4
P05	24.87393033	half	3/9/20	L4
P05	21.52824838	half	3/10/20	L4
P05	19.88842508	half	3/11/20	L4
P05	23.48959451	half	3/12/20	L4
P06	23.49822798	full	3/5/20	L4
P06	25.57053924	full	3/6/20	L4
P06	25.02446269	full	3/7/20	L4
P06	20.56099427	full	3/8/20	L4
P06	24.23447722	full	3/9/20	L4
P06	21.50966532	full	3/10/20	L4
P06	17.56241306	full	3/11/20	L4
P06	20.06178614	full	3/12/20	L4
P07	21.12588549	full	3/5/20	L4
P07	23.940889	full	3/6/20	L4
P07	25.22507239	full	3/7/20	L4
P07	27.26416194	full	3/8/20	L4
P07	26.864716	full	3/9/20	L4
P07	23.54819788	full	3/10/20	L4
P07	27.22886277	full	3/11/20	L4
P07	30.0092815	full	3/12/20	L4
P08	28.38929068	full	3/5/20	L4
P08	27.77191749	full	3/6/20	L4
P08	27.95723206	full	3/7/20	L4
P08	22.57406489	full	3/8/20	L4
P08	28.49169116	full	3/9/20	L4
P08	16.15353647	full	3/10/20	L4
P08	29.15243641	full	3/11/20	L4
P08	30.01975512	full	3/12/20	L4
P09	15.69182605	half	3/5/20	L4
P09	18.70905795	half	3/6/20	L4
P09	19.95017698	half	3/7/20	L4
P09	15.06365411	half	3/8/20	L4
P09	17.1526051	half	3/9/20	L4
P09	14.44119489	half	3/10/20	L4
P09	16.60720801	half	3/11/20	L4
P09	26.65497571	half	3/12/20	L4
P11	17.6811689	half	3/5/20	L4
P11	15.01311011	half	3/6/20	L4
P11	18.19595498	half	3/7/20	L4
P11	19.79460168	half	3/8/20	L4
P11	21.54136707	half	3/9/20	L4
P11	19.24007434	half	3/10/20	L4
P11	22.98862111	half	3/11/20	L4
P11	23.00783781	half	3/12/20	L4
P12	19.88783707	half	3/5/20	L4
P12	13.34548691	half	3/6/20	L4
P12	15.16655715	half	3/7/20	L4
P12	12.78364984	half	3/8/20	L4
P12	13.36180258	half	3/9/20	L4
P12	12.98960107	half	3/10/20	L4
P12	18.1208594	half	3/11/20	L4
P12	18.86898141	half	3/12/20	L4
P14	17.32901833	full	3/5/20	L4
P14	7.465223661	full	3/6/20	L4
P14	18.4129302	full	3/7/20	L4
P14	10.84835473	full	3/8/20	L4
P14	16.16893594	full	3/9/20	L4
P14	18.15971178	full	3/10/20	L4
P14	19.18408502	full	3/11/20	L4
P14	21.05082686	full	3/12/20	L4
