RecordID	GWC	Plot	Labeling	Harvest	Isotope	Water
127	0.180250604	P15	L2	T0	C12	full
128	0.154039028	P16	L2	T0	C12	full
129	0.149482778	P01	L2	T1	C13	full
130	0.154193175	P02	L2	T1	C13	half
131	0.140065887	P03	L2	T1	C13	full
132	0.166159963	P04	L2	T1	C13	half
133	0.158713812	P05	L2	T1	C13	half
134	0.154882543	P06	L2	T1	C13	full
135	0.170023148	P07	L2	T1	C13	full
136	0.159251127	P08	L2	T1	C13	full
137	0.167101236	P09	L2	T1	C13	half
138	0.209342964	P10	L2	T1	C13	half
139	0.208694619	P11	L2	T1	C13	half
140	0.181913408	P12	L2	T1	C13	half
141	0.126441981	P13	L2	T1	C13	half
142	0.195895307	P14	L2	T1	C13	full
143	0.163380606	P15	L2	T1	C13	full
144	0.16126064	P16	L2	T1	C13	full
145	0.176290761	P01	L2	T1	C12	full
146	0.12568367	P02	L2	T1	C12	half
147	0.135354446	P03	L2	T1	C12	full
148	0.137804062	P04	L2	T1	C12	half
149	0.129251701	P05	L2	T1	C12	half
150	0.178135275	P06	L2	T1	C12	full
151	0.130770103	P07	L2	T1	C12	full
152	0.136803736	P08	L2	T1	C12	full
153	0.128042568	P09	L2	T1	C12	half
154	0.147694441	P10	L2	T1	C12	half
155	0.142303307	P11	L2	T1	C12	half
156	0.133976064	P12	L2	T1	C12	half
157	0.126261518	P13	L2	T1	C12	half
158	0.128481779	P14	L2	T1	C12	full
159	0.155839628	P15	L2	T1	C12	full
160	0.142517007	P16	L2	T1	C12	full
161	0.0374	P01	L2	T2	C13	full
162	0.058516863	P02	L2	T2	C13	half
163	0.065843621	P03	L2	T2	C13	full
164	0.052709256	P04	L2	T2	C13	half
165	0.069662438	P05	L2	T2	C13	half
166	0.034029851	P06	L2	T2	C13	full
167	0.060859441	P07	L2	T2	C13	full
168	0.048918156	P08	L2	T2	C13	full
169	0.03575845	P09	L2	T2	C13	half
170	0.076906757	P10	L2	T2	C13	half
171	0.072137158	P11	L2	T2	C13	half
172	0.054233766	P12	L2	T2	C13	half
173	0.039207508	P13	L2	T2	C13	half
174	0.083342472	P14	L2	T2	C13	full
175	0.080618804	P15	L2	T2	C13	full
176	0.060492505	P16	L2	T2	C13	full
177	0.047156727	P01	L2	T2	C12	full
178	0.049412761	P02	L2	T2	C12	half
179	0.043025458	P03	L2	T2	C12	full
180	0.067600813	P04	L2	T2	C12	half
181	0.053127678	P05	L2	T2	C12	half
182	0.047563682	P06	L2	T2	C12	full
183	0.046040902	P07	L2	T2	C12	full
184	0.046570973	P08	L2	T2	C12	full
185	0.043945621	P09	L2	T2	C12	half
186	0.091008413	P10	L2	T2	C12	half
187	0.073796453	P11	L2	T2	C12	half
188	0.067017506	P12	L2	T2	C12	half
