TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index
2019-03-18 20:58:15	1552967895	P04	830	1425	10.7	14.4444444444444	0	2019-03-18	19
2019-03-18 22:18:15	1552972695	P04	1025	1646	9.11	13.7777777777778	0	2019-03-18	19
2019-03-18 23:38:15	1552977495	P04	1102	1845	8.38	13.9444444444444	0	2019-03-18	19
2019-03-19 00:58:15	1552982295	P04	983	1531	7.289	11.5	0	2019-03-19	19
2019-03-19 02:18:15	1552987095	P04	1040	1603	6.882	10.1666666666667	0	2019-03-19	19
2019-03-19 03:38:15	1552991895	P04	1100	1751	6.755	8.83333333333333	0	2019-03-19	19
2019-03-19 04:58:15	1552996695	P04	1104	1812	6.599	7.27777777777778	0	2019-03-19	19
2019-03-19 06:18:15	1553001495	P04	1187	1914	6.501	7.72222222222222	0	2019-03-19	19
2019-03-19 19:38:15	1553049495	P04	1024	1062	15.76	13.8888888888889	0	2019-03-19	20
2019-03-19 20:58:15	1553054295	P04	1055	1158	11.3	14.2777777777778	0	2019-03-19	20
2019-03-19 22:18:15	1553059095	P04	1128	1343	9.49	11.8888888888889	0	2019-03-19	20
2019-03-19 23:38:15	1553063895	P04	857	822	6.153	12.3888888888889	0	2019-03-19	20
2019-03-20 00:58:15	1553068695	P04	991	1086	6.377	11.5	0	2019-03-20	20
2019-03-20 02:18:15	1553073495	P04	1141	1307	6.454	9.77777777777778	0	2019-03-20	20
2019-03-20 03:38:15	1553078295	P04	1312	1593	6.626	9.44444444444444	0	2019-03-20	20
2019-03-20 04:58:15	1553083095	P04	1392	1782	6.643	9.66666666666667	0	2019-03-20	20
2019-03-20 06:18:15	1553087895	P04	1474	1970	6.69	9.5	0	2019-03-20	20
2019-03-20 20:58:15	1553140695	P04	730.7	993	25.68	6.61111111111111	0	2019-03-20	21
2019-03-20 22:18:15	1553145495	P04	769.4	1181	21.35	5.11111111111111	0	2019-03-20	21
2019-03-20 23:38:15	1553150295	P04	810	1336	18.51	4.05555555555555	0	2019-03-20	21
2019-03-21 00:58:15	1553155095	P04	855	1466	16.54	3.88888888888889	0	2019-03-21	21
2019-03-21 02:18:15	1553159895	P04	878	1605	15.08	4.38888888888889	0	2019-03-21	21
2019-03-21 03:38:15	1553164695	P04	929	1726	13.92	4.27777777777778	0	2019-03-21	21
2019-03-21 04:58:15	1553169495	P04	980	1856	12.91	4.66666666666667	0	2019-03-21	21
2019-03-21 06:18:15	1553174295	P04	865	1842	11.71	4.83333333333333	0	2019-03-21	21
2019-03-21 20:58:15	1553227095	P04	795.9	916	18.43	7.5	0	2019-03-21	22
2019-03-21 22:18:15	1553231895	P04	888	1166	16.64	6	0	2019-03-21	22
2019-03-21 23:38:15	1553236695	P04	946	1339	15.29	5.05555555555556	0	2019-03-21	22
2019-03-22 00:58:15	1553241495	P04	953	1466	14.39	4.5	0	2019-03-22	22
2019-03-22 02:18:15	1553246295	P04	983	1550	13.73	3.5	0	2019-03-22	22
2019-03-22 03:38:15	1553251095	P04	1039	1664	13.16	5.77777777777778	0	2019-03-22	22
2019-03-22 04:58:15	1553255895	P04	1076	1819	12.9	5.66666666666667	0	2019-03-22	22
2019-03-22 06:18:15	1553260695	P04	1093	1918	12.45	5.72222222222222	0	2019-03-22	22
2019-03-22 19:38:15	1553308695	P04	758	933	18.78	10.5555555555556	0	2019-03-22	23
2019-03-22 20:58:15	1553313495	P04	870	1188	17.18	10.4444444444444	0	2019-03-22	23
2019-03-22 22:18:15	1553318295	P04	981	1425	16.1	10.4444444444444	0	2019-03-22	23
2019-03-22 23:38:15	1553323095	P04	1032	1612	15.16	10.6111111111111	0	2019-03-22	23
2019-03-23 00:58:15	1553327895	P04	999	1699	14.22	10.4444444444444	0	2019-03-23	23
2019-03-23 02:18:15	1553332695	P04	936	1798	13.43	9.77777777777778	0	2019-03-23	23
2019-03-23 03:38:15	1553337495	P04	890	1854	12.86	7.88888888888889	0	2019-03-23	23
2019-03-23 04:58:15	1553342295	P04	875	1918	12.39	7	0	2019-03-23	23
2019-03-23 06:18:15	1553347095	P04	825	1902	11.86	5.55555555555556	0	2019-03-23	23
2019-03-23 20:58:15	1553399895	P04	724.1	791.5	25.09	6.33333333333333	0	2019-03-23	24
2019-03-23 22:18:15	1553404695	P04	771.1	969	21.4	5.05555555555556	0	2019-03-23	24
2019-03-23 23:38:15	1553409495	P04	804	1101	19.33	3.77777777777778	0	2019-03-23	24
2019-03-24 00:58:15	1553414295	P04	811	1203	17.96	3	0	2019-03-24	24
2019-03-24 02:18:15	1553419095	P04	812	1257	16.79	2.38888888888889	0	2019-03-24	24
2019-03-24 03:38:15	1553423895	P04	814	1305	15.96	1.77777777777778	0	2019-03-24	24
2019-03-24 04:58:15	1553428695	P04	832	1386	15.46	1.83333333333333	0	2019-03-24	24
2019-03-24 06:18:15	1553433495	P04	793.9	1339	14.57	1.72222222222222	0	2019-03-24	24
2019-03-24 20:58:15	1553486295	P04	741.5	910	18.83	13.3333333333333	0	2019-03-24	25
2019-03-24 22:18:15	1553491095	P04	788.5	1004	15.28	12.6666666666667	0	2019-03-24	25
2019-03-24 23:38:15	1553495895	P04	743.2	962	13.07	11.6666666666667	0	2019-03-24	25
2019-03-25 00:58:15	1553500695	P04	678.3	879	11.67	11.1666666666667	0	2019-03-25	25
2019-03-25 02:18:15	1553505495	P04	690.9	917	11.73	10.6111111111111	0	2019-03-25	25
2019-03-25 03:38:15	1553510295	P04	716.1	1037	12.07	8.05555555555556	0	2019-03-25	25
2019-03-25 04:58:15	1553515095	P04	746.1	1179	12.19	7.5	0	2019-03-25	25
2019-03-25 06:18:15	1553519895	P04	734.5	1276	12.01	7.55555555555556	0	2019-03-25	25
2019-03-25 20:58:15	1553572695	P04	715.7	931	30.96	8.33333333333333	0	2019-03-25	26
2019-03-25 22:18:15	1553577495	P04	813	1124	27.05	8.16666666666667	0	2019-03-25	26
2019-03-25 23:38:15	1553582295	P04	894	1309	24.65	8	0	2019-03-25	26
2019-03-26 00:58:15	1553587095	P04	959	1485	23	7.44444444444444	0	2019-03-26	26
2019-03-26 02:18:15	1553591895	P04	988	1660	21.84	7.77777777777778	0	2019-03-26	26
2019-03-26 03:38:15	1553596695	P04	1011	1809	20.78	7.72222222222222	0	2019-03-26	26
2019-03-26 04:58:15	1553601495	P04	982	1941	19.93	7.55555555555556	0	2019-03-26	26
2019-03-26 06:18:15	1553606295	P04	1040	2084	19.25	7.44444444444444	0	2019-03-26	26
2019-03-26 20:58:15	1553659095	P04	847	904	19.66	11.1111111111111	0	2019-03-26	27
2019-03-26 22:18:15	1553663895	P04	942	1125	18.94	9.16666666666667	0	2019-03-26	27
2019-03-26 23:38:15	1553668695	P04	1020	1347	18.7	8.5	0	2019-03-26	27
2019-03-27 00:58:15	1553673495	P04	1036	1507	18.12	8.66666666666667	0	2019-03-27	27
2019-03-27 02:18:15	1553678295	P04	977	1589	17.75	8.55555555555556	0	2019-03-27	27
2019-03-27 03:38:15	1553683095	P04	941	1734	17.64	8.83333333333333	0	2019-03-27	27
2019-03-27 04:58:15	1553687895	P04	769.4	1332	15.98	10.3888888888889	0	2019-03-27	27
2019-03-27 06:18:15	1553692695	P04	595.1	956	13.7	10.3333333333333	0	2019-03-27	27
2019-03-27 20:58:15	1553745495	P04	628.8	654.7	17.81	6.22222222222222	0	2019-03-27	28
2019-03-27 22:18:15	1553750295	P04	688.5	828	16.64	4.83333333333333	0	2019-03-27	28
2019-03-27 23:38:15	1553755095	P04	732.9	940	14.87	5.33333333333333	0	2019-03-27	28
2019-03-28 00:58:15	1553759895	P04	782.7	1020	13.3	7.55555555555556	0	2019-03-28	28
2019-03-28 02:18:15	1553764695	P04	791	1117	13.16	7.72222222222222	0	2019-03-28	28
2019-03-28 03:38:15	1553769495	P04	813	1189	13.14	7.72222222222222	0	2019-03-28	28
2019-03-28 04:58:15	1553774295	P04	835	1264	12.97	7.33333333333333	0	2019-03-28	28
2019-03-28 06:18:15	1553779095	P04	853	1277	12.49	7.83333333333333	0	2019-03-28	28
2019-03-28 20:58:15	1553831895	P04	670.1	625.7	19.02	8.66666666666667	0	2019-03-28	29
2019-03-28 22:18:15	1553836695	P04	720.7	824	17.63	6.44444444444444	0	2019-03-28	29
2019-03-28 23:38:15	1553841495	P04	762.2	982	16.77	5.38888888888889	0	2019-03-28	29
2019-03-29 00:58:15	1553846295	P04	777.5	1104	15.94	5.05555555555556	0	2019-03-29	29
2019-03-29 02:18:15	1553851095	P04	832	1226	15.36	5.66666666666667	0	2019-03-29	29
2019-03-29 03:38:15	1553855895	P04	830	1310	14.87	6.11111111111111	0	2019-03-29	29
2019-03-29 04:58:15	1553860695	P04	897	1432	14.52	6.16666666666667	0	2019-03-29	29
2019-03-29 06:18:15	1553865495	P04	891	1500	14.35	5.55555555555556	0	2019-03-29	29
2019-03-29 20:58:15	1553918295	P04	609	722.4	21.11	9.83333333333333	0	2019-03-29	30
2019-03-29 22:18:15	1553923095	P04	701.2	921	19.33	7.38888888888889	0	2019-03-29	30
2019-03-29 23:38:15	1553927895	P04	762.9	1082	18.34	5.77777777777778	0	2019-03-29	30
2019-03-30 00:58:15	1553932695	P04	811	1216	17.82	4.88888888888889	0	2019-03-30	30
2019-03-30 02:18:15	1553937495	P04	848	1332	17.48	4.11111111111111	0	2019-03-30	30
2019-03-30 03:38:15	1553942295	P04	892	1447	17.34	3.22222222222222	0	2019-03-30	30
2019-03-30 04:58:15	1553947095	P04	921	1526	17.09	2.61111111111111	0	2019-03-30	30
