TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index	Picarro_CO2_Eyeball_MY
2019-03-18 20:38:15	1552966695	P16	989	1650	10.13	14.8333333333333	0	2019-03-18	19	N
2019-03-18 21:58:15	1552971495	P16	1293	1915	8.27	15.2222222222222	0	2019-03-18	19	N
2019-03-18 23:18:15	1552976295	P16	1541	2180	7.319	12.1666666666667	0	2019-03-18	19	N
2019-03-19 00:38:15	1552981095	P16	1250	1968	6.23	12.1111111111111	0	2019-03-19	19	Y
2019-03-19 01:58:15	1552985895	P16	1368	2103	5.771	10.7222222222222	0	2019-03-19	19	Y
2019-03-19 03:18:15	1552990695	P16	1486	2297	5.493	9.11111111111111	0	2019-03-19	19	Y
2019-03-19 04:38:15	1552995495	P16	1653	2419	5.292	7.5	0	2019-03-19	19	Y
2019-03-19 05:58:15	1553000295	P16	1701	2543	5.149	7.66666666666667	0	2019-03-19	19	Y
2019-03-19 20:38:15	1553053095	P16	977	1332	8.57	14.4444444444444	0	2019-03-19	20	N
2019-03-19 21:58:15	1553057895	P16	1216	1580	7.223	12.1666666666667	0	2019-03-19	20	N
2019-03-19 23:18:15	1553062695	P16	700.3	1078	4.745	12.5555555555556	0	2019-03-19	20	Y
2019-03-20 00:38:15	1553067495	P16	989	1327	4.619	11.6666666666667	0	2019-03-20	20	Y
2019-03-20 01:58:15	1553072295	P16	1223	1546	4.725	10.1666666666667	0	2019-03-20	20	Y
2019-03-20 03:18:15	1553077095	P16	1565	1833	4.864	9.5	0	2019-03-20	20	Y
2019-03-20 04:38:15	1553081895	P16	1737	2006	4.911	9.55555555555556	0	2019-03-20	20	Y
2019-03-20 05:58:15	1553086695	P16	1938	2163	4.928	9.55555555555556	0	2019-03-20	20	Y
2019-03-20 20:38:15	1553139495	P16	834	987	19.2	7	0	2019-03-20	21	Y
2019-03-20 21:58:15	1553144295	P16	1102	1184	15.34	5.38888888888889	0	2019-03-20	21	Y
2019-03-20 23:18:15	1553149095	P16	1280	1331	13.07	4.38888888888889	0	2019-03-20	21	Y
2019-03-21 00:38:15	1553153895	P16	1437	1474	11.65	3.94444444444445	0	2019-03-21	21	Y
2019-03-21 01:58:15	1553158695	P16	1550	1598	10.72	4.38888888888889	0	2019-03-21	21	Y
2019-03-21 03:18:15	1553163495	P16	1636	1725	10	3.94444444444445	0	2019-03-21	21	Y
2019-03-21 04:38:15	1553168295	P16	1747	1855	9.54	4.72222222222222	0	2019-03-21	21	Y
2019-03-21 05:58:15	1553173095	P16	1626	1864	9.05	4.94444444444444	0	2019-03-21	21	N
2019-03-21 20:38:15	1553225895	P16	879	1197	19.99	7.88888888888889	0	2019-03-21	22	Y
2019-03-21 21:58:15	1553230695	P16	1169	1448	16.45	6.11111111111111	0	2019-03-21	22	Y
2019-03-21 23:18:15	1553235495	P16	1360	1612	14.52	5.38888888888889	0	2019-03-21	22	Y
2019-03-22 00:38:15	1553240295	P16	1478	1726	13.25	4.72222222222222	0	2019-03-22	22	Y
2019-03-22 01:58:15	1553245095	P16	1579	1838	12.37	3.72222222222222	0	2019-03-22	22	Y
2019-03-22 03:18:15	1553249895	P16	1628	1927	11.76	3.77777777777778	0	2019-03-22	22	Y
2019-03-22 04:38:15	1553254695	P16	1665	2076	11.43	5.83333333333333	0	2019-03-22	22	Y
2019-03-22 05:58:15	1553259495	P16	1695	2154	11.13	5.88888888888889	0	2019-03-22	22	Y
2019-03-22 20:38:15	1553312295	P16	965	1019	17.1	10.4444444444444	0	2019-03-22	23	Y
2019-03-22 21:58:15	1553317095	P16	1236	1237	15.62	10.3888888888889	0	2019-03-22	23	Y
2019-03-22 23:18:15	1553321895	P16	1432	1428	14.51	10.5555555555556	0	2019-03-22	23	Y
2019-03-23 00:38:15	1553326695	P16	1517	1524	13.53	10.6666666666667	0	2019-03-23	23	Y
2019-03-23 01:58:15	1553331495	P16	1475	1635	12.76	10.1666666666667	0	2019-03-23	23	Y
2019-03-23 03:18:15	1553336295	P16	1642	1695	12.05	8.5	0	2019-03-23	23	Y
2019-03-23 04:38:15	1553341095	P16	1679	1771	11.51	7.27777777777778	0	2019-03-23	23	Y
2019-03-23 05:58:15	1553345895	P16	1602	1764	11.02	6.05555555555555	0	2019-03-23	23	N
2019-03-23 20:38:15	1553398695	P16	612.7	750.7	20.91	6.72222222222222	0	2019-03-23	24	Y
2019-03-23 21:58:15	1553403495	P16	806	913	17.39	5.16666666666667	0	2019-03-23	24	Y
