TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index
2019-03-18 20:03:15	1552964595	P09	756.9	910	11.96	16.2222222222222	0	2019-03-18	19
2019-03-18 21:23:15	1552969395	P09	1261	1127	9.64	15.7222222222222	0	2019-03-18	19
2019-03-18 22:43:15	1552974195	P09	1653	1288	8.49	12.8888888888889	0	2019-03-18	19
2019-03-19 00:03:15	1552978995	P09	1782	948	7.773	14.1666666666667	0	2019-03-19	19
2019-03-19 01:23:15	1552983795	P09	1920	1028	7.272	11.2222222222222	0	2019-03-19	19
2019-03-19 02:43:15	1552988595	P09	2002	1127	7.015	10	0	2019-03-19	19
2019-03-19 04:03:15	1552993395	P09	2002	1205	6.819	8.55555555555556	0	2019-03-19	19
2019-03-19 05:23:15	1552998195	P09	2002	1233	6.661	7.44444444444444	0	2019-03-19	19
2019-03-19 06:43:15	1553002995	P09	2002	1383	6.54	7.55555555555556	0	2019-03-19	19
2019-03-19 20:03:15	1553050995	P09	1187	937	13.4	14.6666666666667	0	2019-03-19	20
2019-03-19 21:23:15	1553055795	P09	1483	986	10.89	13.5555555555556	0	2019-03-19	20
2019-03-19 22:43:15	1553060595	P09	1596	839	9.47	13.3888888888889	0	2019-03-19	20
2019-03-20 00:03:15	1553065395	P09	1399	736	7.896	12.1111111111111	0	2019-03-20	20
2019-03-20 01:23:15	1553070195	P09	1698	995	7.588	11.6666666666667	0	2019-03-20	20
2019-03-20 02:43:15	1553074995	P09	2002	1375	7.399	9.61111111111111	0	2019-03-20	20
2019-03-20 04:03:15	1553079795	P09	2002	1681	7.291	9.55555555555556	0	2019-03-20	20
2019-03-20 05:23:15	1553084595	P09	2002	1896	7.165	9.72222222222222	0	2019-03-20	20
2019-03-20 06:43:15	1553089395	P09	2002	2130	7.057	9.44444444444444	0	2019-03-20	20
2019-03-20 20:03:15	1553137395	P09	638.1	726.4	17.98	8.44444444444445	0	2019-03-20	21
2019-03-20 21:23:15	1553142195	P09	1011	1005	13.62	5.83333333333333	0	2019-03-20	21
2019-03-20 22:43:15	1553146995	P09	1304	1167	11.67	4.66666666666667	0	2019-03-20	21
2019-03-21 00:03:15	1553151795	P09	1540	1286	10.54	4.11111111111111	0	2019-03-21	21
2019-03-21 01:23:15	1553156595	P09	1756	1395	9.83	3.83333333333333	0	2019-03-21	21
2019-03-21 02:43:15	1553161395	P09	1977	1526	9.38	3.88888888888889	0	2019-03-21	21
2019-03-21 04:03:15	1553166195	P09	2002	1705	9.08	4.5	0	2019-03-21	21
2019-03-21 05:23:15	1553170995	P09	2002	1793	8.83	4.77777777777778	0	2019-03-21	21
2019-03-21 06:43:15	1553175795	P09	1977	1375	8.47	4.83333333333333	0	2019-03-21	21
2019-03-21 20:03:15	1553223795	P09	618.3	711.4	21.11	9.55555555555556	0	2019-03-21	22
2019-03-21 21:23:15	1553228595	P09	1044	988	16.72	6.77777777777778	0	2019-03-21	22
2019-03-21 22:43:15	1553233395	P09	1394	1131	14.83	5.88888888888889	0	2019-03-21	22
2019-03-22 00:03:15	1553238195	P09	1669	1219	13.7	4.94444444444444	0	2019-03-22	22
2019-03-22 01:23:15	1553242995	P09	1897	1241	12.9	4.16666666666667	0	2019-03-22	22
2019-03-22 02:43:15	1553247795	P09	2002	1252	12.56	3.22222222222222	0	2019-03-22	22
2019-03-22 04:03:15	1553252595	P09	2001	1384	12.31	5.88888888888889	0	2019-03-22	22
2019-03-22 05:23:15	1553257395	P09	2002	1448	12.1	5.83333333333333	0	2019-03-22	22
2019-03-22 06:43:15	1553262195	P09	2001	1535	11.84	5.55555555555556	0	2019-03-22	22
2019-03-22 20:03:15	1553310195	P09	1138	1035	15.89	10.5	0	2019-03-22	23
2019-03-22 21:23:15	1553314995	P09	1517	1412	14.84	10.4444444444444	0	2019-03-22	23
2019-03-22 22:43:15	1553319795	P09	1850	1711	14.06	10.5	0	2019-03-22	23
2019-03-23 00:03:15	1553324595	P09	2002	1982	13.49	10.6111111111111	0	2019-03-23	23
2019-03-23 01:23:15	1553329395	P09	2001	2107	12.94	10.4444444444444	0	2019-03-23	23
2019-03-23 02:43:15	1553334195	P09	2002	2082	12.33	9.11111111111111	0	2019-03-23	23
2019-03-23 04:03:15	1553338995	P09	2001	2081	11.97	7.61111111111111	0	2019-03-23	23
2019-03-23 05:23:15	1553343795	P09	2002	1961	11.52	6.88888888888889	0	2019-03-23	23
2019-03-23 06:43:15	1553348595	P09	2002	1675	11.26	5.05555555555556	0	2019-03-23	23
2019-03-23 20:03:15	1553396595	P09	502.7	621.1	18.66	8.38888888888889	0	2019-03-23	24
2019-03-23 21:23:15	1553401395	P09	847	855	15.56	5.61111111111111	0	2019-03-23	24
2019-03-23 22:43:15	1553406195	P09	1114	1006	14.33	4.55555555555556	0	2019-03-23	24
2019-03-24 00:03:15	1553410995	P09	1350	1100	13.66	3.55555555555555	0	2019-03-24	24
2019-03-24 01:23:15	1553415795	P09	1554	1136	13.27	2.72222222222222	0	2019-03-24	24
