TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index
2019-03-18 20:13:15	1552965195	P11	864	1047	14.36	15.4444444444444	0	2019-03-18	19
2019-03-18 21:33:15	1552969995	P11	1182	1546	11.5	15.7222222222222	0	2019-03-18	19
2019-03-18 22:53:15	1552974795	P11	1322	1985	10.09	12.5	0	2019-03-18	19
2019-03-19 00:13:15	1552979595	P11	949	2181	9.02	13.7777777777778	0	2019-03-19	19
2019-03-19 01:33:15	1552984395	P11	1159	2470	8.45	11.2222222222222	0	2019-03-19	19
2019-03-19 02:53:15	1552989195	P11	1199	2729	8.01	9.5	0	2019-03-19	19
2019-03-19 04:13:15	1552993995	P11	1253	3004	7.703	8.16666666666667	0	2019-03-19	19
2019-03-19 05:33:15	1552998795	P11	1298	3225	7.437	7.44444444444444	0	2019-03-19	19
2019-03-19 06:53:15	1553003595	P11	1333	3452	7.266	7.5	0	2019-03-19	19
2019-03-19 20:13:15	1553051595	P11	944	1067	15.05	15.5	0	2019-03-19	20
2019-03-19 21:33:15	1553056395	P11	1207	1417	12.17	13.5555555555556	0	2019-03-19	20
2019-03-19 22:53:15	1553061195	P11	998	1539	10.26	12.7777777777778	0	2019-03-19	20
2019-03-20 00:13:15	1553065995	P11	962	1546	8.96	11.8888888888889	0	2019-03-20	20
2019-03-20 01:33:15	1553070795	P11	1287	1849	8.57	11.6666666666667	0	2019-03-20	20
2019-03-20 02:53:15	1553075595	P11	1709	2212	8.33	9.61111111111111	0	2019-03-20	20
2019-03-20 04:13:15	1553080395	P11	2002	2527	8.13	9.55555555555556	0	2019-03-20	20
2019-03-20 05:33:15	1553085195	P11	2001	2807	7.957	9.72222222222222	0	2019-03-20	20
2019-03-20 06:53:15	1553089995	P11	2001	3083	7.82	9.38888888888889	0	2019-03-20	20
2019-03-20 20:13:15	1553137995	P11	669	689.8	18.97	7.83333333333333	0	2019-03-20	21
2019-03-20 21:33:15	1553142795	P11	971	1039	14.92	5.83333333333333	0	2019-03-20	21
2019-03-20 22:53:15	1553147595	P11	1177	1334	12.89	4.55555555555556	0	2019-03-20	21
2019-03-21 00:13:15	1553152395	P11	1365	1603	11.65	4.05555555555555	0	2019-03-21	21
2019-03-21 01:33:15	1553157195	P11	1548	1860	10.84	3.83333333333333	0	2019-03-21	21
2019-03-21 02:53:15	1553161995	P11	1679	2098	10.27	3.55555555555555	0	2019-03-21	21
2019-03-21 04:13:15	1553166795	P11	1960	2362	9.86	4.72222222222222	0	2019-03-21	21
2019-03-21 05:33:15	1553171595	P11	2002	2603	9.55	4.77777777777778	0	2019-03-21	21
2019-03-21 06:53:15	1553176395	P11	1815	2596	9.08	4.83333333333333	0	2019-03-21	21
2019-03-21 20:13:15	1553224395	P11	694.8	874	19.46	8.94444444444444	0	2019-03-21	22
