TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index	Picarro_CO2_Eyeball_MY
2019-03-18 20:28:15	1552966095	P14	920	1231	7.161	15.0555555555556	0	2019-03-18	19	Y
2019-03-18 21:48:15	1552970895	P14	919	1666	6.145	15.7222222222222	0	2019-03-18	19	Y
2019-03-18 23:08:15	1552975695	P14	1041	2032	5.632	12.1666666666667	0	2019-03-18	19	Y
2019-03-19 00:28:15	1552980495	P14	614.9	1941	5.3	13.3333333333333	0	2019-03-19	19	Y
2019-03-19 01:48:15	1552985295	P14	790	2183	5.093	11.2222222222222	0	2019-03-19	19	Y
2019-03-19 03:08:15	1552990095	P14	995	2436	5.084	9.11111111111111	0	2019-03-19	19	Y
2019-03-19 04:28:15	1552994895	P14	1110	2627	4.954	7.77777777777778	0	2019-03-19	19	Y
2019-03-19 05:48:15	1552999695	P14	1107	2791	5.028	7.55555555555556	0	2019-03-19	19	Y
2019-03-19 20:28:15	1553052495	P14	633.3	1045	6.903	15.3333333333333	0	2019-03-19	20	N
2019-03-19 21:48:15	1553057295	P14	831	1362	5.939	12.8333333333333	0	2019-03-19	20	N
2019-03-19 23:08:15	1553062095	P14	455	884	3.893	12.5555555555556	0	2019-03-19	20	Y
2019-03-20 00:28:15	1553066895	P14	674.9	1031	4.137	11.6666666666667	0	2019-03-20	20	Y
2019-03-20 01:48:15	1553071695	P14	727.4	1312	4.443	10.7777777777778	0	2019-03-20	20	Y
2019-03-20 03:08:15	1553076495	P14	985	1719	4.789	9.5	0	2019-03-20	20	Y
2019-03-20 04:28:15	1553081295	P14	1008	2038	4.925	9.66666666666667	0	2019-03-20	20	Y
2019-03-20 05:48:15	1553086095	P14	997	2321	5.075	9.66666666666667	0	2019-03-20	20	Y
2019-03-20 20:28:15	1553138895	P14	753.9	877	11.72	7.44444444444444	0	2019-03-20	21	Y
2019-03-20 21:48:15	1553143695	P14	831	1199	9.71	5.61111111111111	0	2019-03-20	21	Y
