TIMESTAMP	EpochTime	Plot	Irga_CO2	Picarro_CO2	Picarro_Atm_Pct	ws_Temp_C	PAR_In	Date	night_index
2019-03-18 20:23:15	1552965795	P13	738.2	861	13.06	15.0555555555556	0	2019-03-18	19
2019-03-18 21:43:15	1552970595	P13	998	898	11.25	15.7222222222222	0	2019-03-18	19
2019-03-18 23:03:15	1552975395	P13	1236	954	10.42	12.5	0	2019-03-18	19
2019-03-19 00:23:15	1552980195	P13	1031	714.9	9.51	13.3333333333333	0	2019-03-19	19
2019-03-19 01:43:15	1552984995	P13	1132	830	9.03	11.2222222222222	0	2019-03-19	19
2019-03-19 03:03:15	1552989795	P13	1232	976	8.75	9.5	0	2019-03-19	19
2019-03-19 04:23:15	1552994595	P13	1456	1004	8.51	7.77777777777778	0	2019-03-19	19
2019-03-19 05:43:15	1552999395	P13	1549	1064	8.32	7.55555555555556	0	2019-03-19	19
2019-03-19 07:03:15	1553004195	P13	1617	1073	8.21	7.5	0	2019-03-19	19
2019-03-19 20:23:15	1553052195	P13	1009	969	9.83	15.3333333333333	0	2019-03-19	20
2019-03-19 21:43:15	1553056995	P13	1048	1176	8.51	12.8333333333333	0	2019-03-19	20
2019-03-19 23:03:15	1553061795	P13	716.5	771	6.042	12.7777777777778	0	2019-03-19	20
2019-03-20 00:23:15	1553066595	P13	754.6	912	5.777	11.6666666666667	0	2019-03-20	20
2019-03-20 01:43:15	1553071395	P13	959	1090	6.226	10.7777777777778	0	2019-03-20	20
2019-03-20 03:03:15	1553076195	P13	1179	1369	6.66	9.61111111111111	0	2019-03-20	20
2019-03-20 04:23:15	1553080995	P13	1286	1542	6.834	9.66666666666667	0	2019-03-20	20
2019-03-20 05:43:15	1553085795	P13	1447	1674	6.931	9.66666666666667	0	2019-03-20	20
2019-03-20 07:03:15	1553090595	P13	1539	1727	6.985	9.38888888888889	0	2019-03-20	20
2019-03-20 20:23:15	1553138595	P13	964	835	21.16	7.44444444444444	0	2019-03-20	21
2019-03-20 21:43:15	1553143395	P13	1253	1076	16.71	5.61111111111111	0	2019-03-20	21
2019-03-20 23:03:15	1553148195	P13	1437	1242	14.48	4.55555555555556	0	2019-03-20	21
2019-03-21 00:23:15	1553152995	P13	1617	1381	13.01	3.94444444444445	0	2019-03-21	21
2019-03-21 01:43:15	1553157795	P13	1783	1530	12.18	4.16666666666667	0	2019-03-21	21
2019-03-21 03:03:15	1553162595	P13	1944	1667	11.4	3.55555555555555	0	2019-03-21	21
2019-03-21 04:23:15	1553167395	P13	2001	1898	10.98	4.83333333333333	0	2019-03-21	21
2019-03-21 05:43:15	1553172195	P13	2002	2073	10.55	4.94444444444444	0	2019-03-21	21
2019-03-21 20:23:15	1553224995	P13	794.7	837	16.43	8.33333333333333	0	2019-03-21	22
2019-03-21 21:43:15	1553229795	P13	1081	981	13.44	6.38888888888889	0	2019-03-21	22
2019-03-21 23:03:15	1553234595	P13	1268	1000	12.16	5.66666666666667	0	2019-03-21	22
2019-03-22 00:23:15	1553239395	P13	1351	1004	11.39	4.66666666666667	0	2019-03-22	22
2019-03-22 01:43:15	1553244195	P13	1495	1019	10.86	4	0	2019-03-22	22
2019-03-22 03:03:15	1553248995	P13	1607	1097	10.54	3.16666666666667	0	2019-03-22	22
2019-03-22 04:23:15	1553253795	P13	1669	1239	10.72	6.22222222222222	0	2019-03-22	22
2019-03-22 05:43:15	1553258595	P13	1564	1321	10.71	6.05555555555555	0	2019-03-22	22
2019-03-22 07:03:15	1553263395	P13	1563	1348	10.57	5.44444444444444	0	2019-03-22	22
2019-03-22 20:23:15	1553311395	P13	1094	972	14.96	10.4444444444444	0	2019-03-22	23
2019-03-22 21:43:15	1553316195	P13	1298	1244	14.2	10.3888888888889	0	2019-03-22	23
2019-03-22 23:03:15	1553320995	P13	1418	1411	13.68	10.5555555555556	0	2019-03-22	23
2019-03-23 00:23:15	1553325795	P13	1469	1467	13.23	10.6666666666667	0	2019-03-23	23
2019-03-23 01:43:15	1553330595	P13	1483	1440	12.74	10.3333333333333	0	2019-03-23	23
2019-03-23 03:03:15	1553335395	P13	1381	1387	12.32	8.77777777777778	0	2019-03-23	23
2019-03-23 04:23:15	1553340195	P13	1438	1401	12	7.55555555555556	0	2019-03-23	23
2019-03-23 05:43:15	1553344995	P13	1305	1331	11.6	6.44444444444444	0	2019-03-23	23
2019-03-23 20:23:15	1553397795	P13	617.1	611.1	17.63	7.33333333333333	0	2019-03-23	24
2019-03-23 21:43:15	1553402595	P13	817	731.2	15.24	5.33333333333333	0	2019-03-23	24
2019-03-23 23:03:15	1553407395	P13	909	823	14.3	4.33333333333333	0	2019-03-23	24
2019-03-24 00:23:15	1553412195	P13	1016	886	13.64	3.44444444444445	0	2019-03-24	24
2019-03-24 01:43:15	1553416995	P13	1161	917	13.27	2.61111111111111	0	2019-03-24	24
2019-03-24 03:03:15	1553421795	P13	1186	961	12.85	2.33333333333333	0	2019-03-24	24
2019-03-24 04:23:15	1553426595	P13	1341	1013	12.62	1.72222222222222	0	2019-03-24	24
2019-03-24 05:43:15	1553431395	P13	1277	1060	12.32	2	0	2019-03-24	24
2019-03-24 20:23:15	1553484195	P13	693.5	786.5	17.4	13.1666666666667	0	2019-03-24	25
2019-03-24 21:43:15	1553488995	P13	808	960	15.67	13.6111111111111	0	2019-03-24	25
2019-03-24 23:03:15	1553493795	P13	768.3	985	14.18	11.2777777777778	0	2019-03-24	25
2019-03-25 00:23:15	1553498595	P13	681.4	851	12.5	11.4444444444444	0	2019-03-25	25
2019-03-25 01:43:15	1553503395	P13	770.5	885	11.89	11	0	2019-03-25	25
2019-03-25 03:03:15	1553508195	P13	891	997	11.95	10.4444444444444	0	2019-03-25	25
2019-03-25 04:23:15	1553512995	P13	916	1094	11.96	7.61111111111111	0	2019-03-25	25
2019-03-25 05:43:15	1553517795	P13	990	1199	12.07	7.27777777777778	0	2019-03-25	25
2019-03-25 07:03:15	1553522595	P13	916	1173	11.95	7.38888888888889	0	2019-03-25	25
2019-03-25 20:23:15	1553570595	P13	647.1	582.3	22.65	8.5	0	2019-03-25	26
2019-03-25 21:43:15	1553575395	P13	830	799.1	19.98	8.27777777777778	0	2019-03-25	26
2019-03-25 23:03:15	1553580195	P13	1028	970	18.36	7.83333333333333	0	2019-03-25	26
2019-03-26 00:23:15	1553584995	P13	1089	1140	17.4	7.44444444444444	0	2019-03-26	26
2019-03-26 01:43:15	1553589795	P13	1290	1317	16.71	7.66666666666667	0	2019-03-26	26
2019-03-26 03:03:15	1553594595	P13	1389	1446	16.16	7.83333333333333	0	2019-03-26	26
2019-03-26 04:23:15	1553599395	P13	1314	1524	15.6	7.55555555555556	0	2019-03-26	26
2019-03-26 05:43:15	1553604195	P13	1358	1650	15.2	7.5	0	2019-03-26	26
2019-03-26 20:23:15	1553656995	P13	713.4	758.3	17.08	10.5555555555556	0	2019-03-26	27
2019-03-26 21:43:15	1553661795	P13	881	955	16.66	9.88888888888889	0	2019-03-26	27
2019-03-26 23:03:15	1553666595	P13	1049	1184	16.59	8.88888888888889	0	2019-03-26	27
2019-03-27 00:23:15	1553671395	P13	1202	1319	16.42	8.61111111111111	0	2019-03-27	27
2019-03-27 01:43:15	1553676195	P13	1248	1358	16.08	8.5	0	2019-03-27	27
2019-03-27 03:03:15	1553680995	P13	1298	1420	15.89	8.61111111111111	0	2019-03-27	27
2019-03-27 04:23:15	1553685795	P13	1375	1406	15.47	10	0	2019-03-27	27
2019-03-27 05:43:15	1553690595	P13	1009	1081	13.32	10.7222222222222	0	2019-03-27	27
2019-03-27 20:23:15	1553743395	P13	542	525.3	16.84	7.88888888888889	0	2019-03-27	28
2019-03-27 21:43:15	1553748195	P13	754.4	700.1	15.81	5.22222222222222	0	2019-03-27	28
2019-03-27 23:03:15	1553752995	P13	832	805	15.19	4.66666666666667	0	2019-03-27	28
2019-03-28 00:23:15	1553757795	P13	923	876	14.87	6.88888888888889	0	2019-03-28	28
2019-03-28 01:43:15	1553762595	P13	934	970	14.9	7.38888888888889	0	2019-03-28	28
2019-03-28 03:03:15	1553767395	P13	989	1072	15.03	8.33333333333333	0	2019-03-28	28
2019-03-28 04:23:15	1553772195	P13	1067	1144	15.2	7.66666666666667	0	2019-03-28	28
2019-03-28 05:43:15	1553776995	P13	989	1114	15.06	8.16666666666667	0	2019-03-28	28
2019-03-28 20:23:15	1553829795	P13	507.1	446.5	19.35	9.05555555555555	0	2019-03-28	29
2019-03-28 21:43:15	1553834595	P13	683.5	659.9	17.95	7.22222222222222	0	2019-03-28	29
2019-03-28 23:03:15	1553839395	P13	836	806	16.98	5.77777777777778	0	2019-03-28	29
2019-03-29 00:23:15	1553844195	P13	1044	935	16.35	5.27777777777778	0	2019-03-29	29
2019-03-29 01:43:15	1553848995	P13	1113	1038	15.86	5	0	2019-03-29	29
2019-03-29 03:03:15	1553853795	P13	1290	1174	15.69	6.05555555555555	0	2019-03-29	29
2019-03-29 04:23:15	1553858595	P13	1375	1261	15.33	6.16666666666667	0	2019-03-29	29
2019-03-29 05:43:15	1553863395	P13	1408	1347	15.22	6	0	2019-03-29	29
2019-03-29 20:23:15	1553916195	P13	510.6	550.9	14.55	11.2222222222222	0	2019-03-29	30
2019-03-29 21:43:15	1553920995	P13	701.2	764.4	14.65	8.27777777777778	0	2019-03-29	30
2019-03-29 23:03:15	1553925795	P13	836	877	14.63	6.61111111111111	0	2019-03-29	30
2019-03-30 00:23:15	1553930595	P13	1038	950	14.73	5.22222222222222	0	2019-03-30	30
2019-03-30 01:43:15	1553935395	P13	1045	1006	14.57	4.27777777777778	0	2019-03-30	30
2019-03-30 03:03:15	1553940195	P13	1205	1040	14.54	3.61111111111111	0	2019-03-30	30
2019-03-30 04:23:15	1553944995	P13	1209	1062	14.39	2.88888888888889	0	2019-03-30	30
2019-03-30 05:43:15	1553949795	P13	1255	1073	14.26	2.66666666666667	0	2019-03-30	30
2019-03-30 20:23:15	1554002595	P13	659.5	645.2	19.24	12.5	0	2019-03-30	31
2019-03-30 21:43:15	1554007395	P13	962	875	18.52	9.27777777777778	0	2019-03-30	31
2019-03-30 23:03:15	1554012195	P13	1125	1035	17.93	7.77777777777778	0	2019-03-30	31
2019-03-31 00:23:15	1554016995	P13	1358	1104	17.61	6.72222222222222	0	2019-03-31	31
2019-03-31 01:43:15	1554021795	P13	1429	1160	17.3	5.88888888888889	0	2019-03-31	31
2019-03-31 03:03:15	1554026595	P13	1620	1213	17.09	5.22222222222222	0	2019-03-31	31
2019-03-31 04:23:15	1554031395	P13	1597	1267	16.78	4.44444444444444	0	2019-03-31	31
2019-03-31 05:43:15	1554036195	P13	1722	1290	16.55	3.72222222222222	0	2019-03-31	31
